Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Norway,Norway,NO,3.06,27.47,99.38,98.17,entsoe.eu,false,
2021-01-01 01:00:00,Norway,Norway,NO,3.02,27.42,99.39,96.94,entsoe.eu,false,
2021-01-01 02:00:00,Norway,Norway,NO,3.09,27.54,99.37,96.46,entsoe.eu,false,
2021-01-01 03:00:00,Norway,Norway,NO,3.0,27.42,99.38,96.66,entsoe.eu,false,
2021-01-01 04:00:00,Norway,Norway,NO,3.13,27.62,99.37,97.13,entsoe.eu,false,
2021-01-01 05:00:00,Norway,Norway,NO,3.06,27.54,99.39,98.07,entsoe.eu,false,
2021-01-01 06:00:00,Norway,Norway,NO,2.93,27.33,99.42,99.24,entsoe.eu,false,
2021-01-01 07:00:00,Norway,Norway,NO,2.89,27.29,99.43,99.43,entsoe.eu,false,
2021-01-01 08:00:00,Norway,Norway,NO,2.88,27.28,99.45,99.45,entsoe.eu,false,
2021-01-01 09:00:00,Norway,Norway,NO,2.9,27.33,99.45,99.45,entsoe.eu,false,
2021-01-01 10:00:00,Norway,Norway,NO,2.81,27.28,99.49,99.49,entsoe.eu,false,
2021-01-01 11:00:00,Norway,Norway,NO,2.74,27.22,99.51,99.51,entsoe.eu,false,
2021-01-01 12:00:00,Norway,Norway,NO,2.8,27.31,99.51,99.51,entsoe.eu,false,
2021-01-01 13:00:00,Norway,Norway,NO,2.77,27.26,99.51,99.51,entsoe.eu,false,
2021-01-01 14:00:00,Norway,Norway,NO,2.74,27.23,99.52,99.52,entsoe.eu,false,
2021-01-01 15:00:00,Norway,Norway,NO,2.77,27.24,99.52,99.52,entsoe.eu,false,
2021-01-01 16:00:00,Norway,Norway,NO,2.53,26.89,99.56,99.56,entsoe.eu,false,
2021-01-01 17:00:00,Norway,Norway,NO,2.56,26.96,99.55,99.55,entsoe.eu,false,
2021-01-01 18:00:00,Norway,Norway,NO,2.3,26.59,99.6,99.6,entsoe.eu,false,
2021-01-01 19:00:00,Norway,Norway,NO,2.31,26.6,99.59,99.59,entsoe.eu,false,
2021-01-01 20:00:00,Norway,Norway,NO,2.32,26.59,99.58,99.58,entsoe.eu,false,
2021-01-01 21:00:00,Norway,Norway,NO,2.31,26.58,99.56,99.56,entsoe.eu,false,
2021-01-01 22:00:00,Norway,Norway,NO,2.92,27.23,99.44,99.44,entsoe.eu,false,
2021-01-01 23:00:00,Norway,Norway,NO,2.9,27.2,99.42,99.42,entsoe.eu,false,
2021-01-02 00:00:00,Norway,Norway,NO,2.95,27.21,99.41,98.63,entsoe.eu,false,
2021-01-02 01:00:00,Norway,Norway,NO,3.06,27.41,99.38,98.22,entsoe.eu,false,
2021-01-02 02:00:00,Norway,Norway,NO,3.09,27.53,99.37,98.0,entsoe.eu,false,
2021-01-02 03:00:00,Norway,Norway,NO,3.03,27.44,99.38,98.47,entsoe.eu,false,
2021-01-02 04:00:00,Norway,Norway,NO,2.99,27.4,99.39,99.23,entsoe.eu,false,
2021-01-02 05:00:00,Norway,Norway,NO,2.97,27.41,99.4,99.4,entsoe.eu,false,
2021-01-02 06:00:00,Norway,Norway,NO,2.88,27.35,99.43,99.43,entsoe.eu,false,
2021-01-02 07:00:00,Norway,Norway,NO,2.85,27.29,99.46,99.46,entsoe.eu,false,
2021-01-02 08:00:00,Norway,Norway,NO,2.81,27.24,99.48,99.48,entsoe.eu,false,
2021-01-02 09:00:00,Norway,Norway,NO,2.79,27.25,99.49,99.49,entsoe.eu,false,
2021-01-02 10:00:00,Norway,Norway,NO,2.84,27.32,99.49,99.49,entsoe.eu,false,
2021-01-02 11:00:00,Norway,Norway,NO,2.81,27.34,99.49,99.49,entsoe.eu,false,
2021-01-02 12:00:00,Norway,Norway,NO,2.8,27.33,99.5,99.5,entsoe.eu,false,
2021-01-02 13:00:00,Norway,Norway,NO,2.75,27.26,99.51,99.51,entsoe.eu,false,
2021-01-02 14:00:00,Norway,Norway,NO,2.71,27.22,99.52,99.52,entsoe.eu,false,
2021-01-02 15:00:00,Norway,Norway,NO,2.6,27.1,99.54,99.54,entsoe.eu,false,
2021-01-02 16:00:00,Norway,Norway,NO,2.52,27.02,99.56,99.56,entsoe.eu,false,
2021-01-02 17:00:00,Norway,Norway,NO,2.62,27.1,99.55,99.55,entsoe.eu,false,
2021-01-02 18:00:00,Norway,Norway,NO,2.65,27.14,99.53,99.53,entsoe.eu,false,
2021-01-02 19:00:00,Norway,Norway,NO,2.82,27.32,99.5,99.5,entsoe.eu,false,
2021-01-02 20:00:00,Norway,Norway,NO,2.83,27.33,99.5,99.5,entsoe.eu,false,
2021-01-02 21:00:00,Norway,Norway,NO,2.95,27.49,99.47,99.47,entsoe.eu,false,
2021-01-02 22:00:00,Norway,Norway,NO,2.8,27.31,99.47,99.47,entsoe.eu,false,
2021-01-02 23:00:00,Norway,Norway,NO,2.95,27.47,99.44,99.44,entsoe.eu,false,
2021-01-03 00:00:00,Norway,Norway,NO,3.05,27.65,99.41,99.3,entsoe.eu,false,
2021-01-03 01:00:00,Norway,Norway,NO,3.08,27.81,99.38,98.21,entsoe.eu,false,
2021-01-03 02:00:00,Norway,Norway,NO,3.19,27.93,99.36,97.97,entsoe.eu,false,
2021-01-03 03:00:00,Norway,Norway,NO,2.98,27.7,99.39,98.08,entsoe.eu,false,
2021-01-03 04:00:00,Norway,Norway,NO,3.01,27.73,99.39,98.16,entsoe.eu,false,
2021-01-03 05:00:00,Norway,Norway,NO,2.9,27.59,99.41,98.17,entsoe.eu,false,
2021-01-03 06:00:00,Norway,Norway,NO,3.07,27.72,99.4,98.86,entsoe.eu,false,
2021-01-03 07:00:00,Norway,Norway,NO,2.92,27.45,99.44,99.44,entsoe.eu,false,
2021-01-03 08:00:00,Norway,Norway,NO,2.91,27.4,99.45,99.45,entsoe.eu,false,
2021-01-03 09:00:00,Norway,Norway,NO,2.76,27.22,99.47,99.47,entsoe.eu,false,
2021-01-03 10:00:00,Norway,Norway,NO,2.75,27.22,99.47,99.47,entsoe.eu,false,
2021-01-03 11:00:00,Norway,Norway,NO,2.66,27.18,99.47,99.47,entsoe.eu,false,
2021-01-03 12:00:00,Norway,Norway,NO,2.63,27.13,99.47,99.47,entsoe.eu,false,
2021-01-03 13:00:00,Norway,Norway,NO,2.79,27.34,99.44,99.44,entsoe.eu,false,
2021-01-03 14:00:00,Norway,Norway,NO,2.59,27.08,99.5,99.5,entsoe.eu,false,
2021-01-03 15:00:00,Norway,Norway,NO,2.8,27.34,99.48,99.48,entsoe.eu,false,
2021-01-03 16:00:00,Norway,Norway,NO,2.87,27.41,99.48,99.48,entsoe.eu,false,
2021-01-03 17:00:00,Norway,Norway,NO,2.8,27.31,99.49,99.49,entsoe.eu,false,
2021-01-03 18:00:00,Norway,Norway,NO,2.76,27.27,99.49,99.49,entsoe.eu,false,
2021-01-03 19:00:00,Norway,Norway,NO,2.8,27.29,99.48,99.48,entsoe.eu,false,
2021-01-03 20:00:00,Norway,Norway,NO,2.76,27.21,99.47,99.31,entsoe.eu,false,
2021-01-03 21:00:00,Norway,Norway,NO,2.74,27.21,99.45,98.93,entsoe.eu,false,
2021-01-03 22:00:00,Norway,Norway,NO,2.78,27.29,99.42,97.99,entsoe.eu,false,
2021-01-03 23:00:00,Norway,Norway,NO,2.9,27.38,99.38,96.12,entsoe.eu,false,
2021-01-04 00:00:00,Norway,Norway,NO,2.82,27.29,99.38,96.2,entsoe.eu,false,
2021-01-04 01:00:00,Norway,Norway,NO,3.0,27.45,99.34,95.78,entsoe.eu,false,
2021-01-04 02:00:00,Norway,Norway,NO,2.89,27.31,99.36,96.06,entsoe.eu,false,
2021-01-04 03:00:00,Norway,Norway,NO,2.98,27.45,99.37,95.97,entsoe.eu,false,
2021-01-04 04:00:00,Norway,Norway,NO,2.93,27.37,99.4,97.44,entsoe.eu,false,
