Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Denmark,Denmark,DK,92.66,138.23,86.67,84.42,entsoe.eu,false,
2023-01-01 01:00:00,Denmark,Denmark,DK,97.63,145.29,85.98,83.7,entsoe.eu,false,
2023-01-01 02:00:00,Denmark,Denmark,DK,105.99,156.05,85.02,82.37,entsoe.eu,false,
2023-01-01 03:00:00,Denmark,Denmark,DK,106.77,157.45,84.82,82.24,entsoe.eu,false,
2023-01-01 04:00:00,Denmark,Denmark,DK,108.73,159.9,84.6,81.82,entsoe.eu,false,
2023-01-01 05:00:00,Denmark,Denmark,DK,109.46,158.27,84.3,81.51,entsoe.eu,false,
2023-01-01 06:00:00,Denmark,Denmark,DK,105.1,150.23,85.09,82.48,entsoe.eu,false,
2023-01-01 07:00:00,Denmark,Denmark,DK,94.85,137.23,86.28,83.92,entsoe.eu,false,
2023-01-01 08:00:00,Denmark,Denmark,DK,84.04,124.88,88.21,86.27,entsoe.eu,false,
2023-01-01 09:00:00,Denmark,Denmark,DK,77.27,116.26,89.52,87.75,entsoe.eu,false,
2023-01-01 10:00:00,Denmark,Denmark,DK,76.55,116.04,89.66,87.86,entsoe.eu,false,
2023-01-01 11:00:00,Denmark,Denmark,DK,72.22,110.86,90.19,88.59,entsoe.eu,false,
2023-01-01 12:00:00,Denmark,Denmark,DK,86.3,126.77,88.35,86.53,entsoe.eu,false,
2023-01-01 13:00:00,Denmark,Denmark,DK,71.68,107.39,90.06,88.63,entsoe.eu,false,
2023-01-01 14:00:00,Denmark,Denmark,DK,70.22,106.67,89.91,88.71,entsoe.eu,false,
2023-01-01 15:00:00,Denmark,Denmark,DK,74.08,109.97,89.2,86.61,entsoe.eu,false,
2023-01-01 16:00:00,Denmark,Denmark,DK,79.91,118.49,88.14,84.55,entsoe.eu,false,
2023-01-01 17:00:00,Denmark,Denmark,DK,85.59,127.26,87.45,83.69,entsoe.eu,false,
2023-01-01 18:00:00,Denmark,Denmark,DK,81.34,122.54,88.4,83.97,entsoe.eu,false,
2023-01-01 19:00:00,Denmark,Denmark,DK,84.62,124.56,87.88,82.75,entsoe.eu,false,
2023-01-01 20:00:00,Denmark,Denmark,DK,82.35,124.67,88.13,83.18,entsoe.eu,false,
2023-01-01 21:00:00,Denmark,Denmark,DK,83.68,126.58,88.05,82.46,entsoe.eu,false,
2023-01-01 22:00:00,Denmark,Denmark,DK,90.21,135.58,87.23,80.33,entsoe.eu,false,
2023-01-01 23:00:00,Denmark,Denmark,DK,96.62,145.32,85.97,77.56,entsoe.eu,false,
2023-01-02 00:00:00,Denmark,Denmark,DK,116.43,168.21,83.71,74.47,entsoe.eu,false,
2023-01-02 01:00:00,Denmark,Denmark,DK,121.67,175.14,83.0,73.93,entsoe.eu,false,
2023-01-02 02:00:00,Denmark,Denmark,DK,139.07,195.57,80.53,73.9,entsoe.eu,false,
2023-01-02 03:00:00,Denmark,Denmark,DK,142.75,200.01,80.18,70.78,entsoe.eu,false,
2023-01-02 04:00:00,Denmark,Denmark,DK,164.25,229.37,77.64,70.79,entsoe.eu,false,
2023-01-02 05:00:00,Denmark,Denmark,DK,177.34,247.57,75.73,68.66,entsoe.eu,false,
2023-01-02 06:00:00,Denmark,Denmark,DK,182.52,251.38,74.39,67.47,entsoe.eu,false,
2023-01-02 07:00:00,Denmark,Denmark,DK,186.22,254.89,73.12,67.35,entsoe.eu,false,
2023-01-02 08:00:00,Denmark,Denmark,DK,192.83,262.37,72.85,68.63,entsoe.eu,false,
2023-01-02 09:00:00,Denmark,Denmark,DK,209.11,279.22,71.48,69.21,entsoe.eu,false,
